"","SERIALNO","AGEP","COW","JWRIP","JWTR","HINCP","atransit","bus","SC","subway","rail","bike","home"
"299",13221,53,6,0,11,106610,1,0,0,0,0,0,1
"300",13251,33,7,1,1,755000,0,0,0,0,0,0,0
"301",13251,39,1,0,11,755000,1,0,0,0,0,0,1
"303",13276,49,6,0,11,108000,1,0,0,0,0,0,1
"304",13295,50,1,1,1,183700,0,0,0,0,0,0,0
"305",13295,55,1,0,11,183700,1,0,0,0,0,0,1
"308",13336,44,1,1,1,180000,0,0,0,0,0,0,0
"310",13502,40,1,1,1,19800,0,0,0,0,0,0,0
"312",13515,63,6,1,1,115800,0,0,0,0,0,0,0
"313",13742,59,5,1,1,86000,0,0,0,0,0,0,0
"314",13917,59,6,1,1,40500,0,0,0,0,0,0,0
"317",13937,55,1,1,1,53000,0,0,0,0,0,0,0
"318",13937,52,1,1,1,53000,0,0,0,0,0,0,0
"319",13961,56,2,1,1,165400,0,0,0,0,0,0,0
"320",13991,43,4,1,1,50800,0,0,0,0,0,0,0
"321",13991,44,1,1,1,50800,0,0,0,0,0,0,0
"322",14001,48,3,1,1,169600,0,0,0,0,0,0,0
"323",14001,48,3,1,1,169600,0,0,0,0,0,0,0
"324",14029,43,1,1,1,255000,0,0,0,0,0,0,0
"325",14029,54,1,1,1,255000,0,0,0,0,0,0,0
"326",14042,23,2,0,9,85104,1,0,0,0,0,1,0
"327",14042,29,2,1,1,85104,0,0,0,0,0,0,0
"328",14042,23,1,0,9,85104,1,0,0,0,0,1,0
"329",14042,23,1,1,1,85104,0,0,0,0,0,0,0
"330",14042,23,6,1,1,85104,0,0,0,0,0,0,0
"331",14098,30,3,1,1,60000,0,0,0,0,0,0,0
"332",14101,60,1,1,1,148300,0,0,0,0,0,0,0
"333",14101,64,1,1,1,148300,0,0,0,0,0,0,0
"336",14240,62,5,1,1,214000,0,0,0,0,0,0,0
"337",14240,62,2,1,1,214000,0,0,0,0,0,0,0
"338",14557,52,1,1,1,382000,0,0,0,0,0,0,0
"339",14557,41,1,1,1,382000,0,0,0,0,0,0,0
"340",14557,53,1,1,1,382000,0,0,0,0,0,0,0
"342",14557,38,1,1,1,382000,0,0,0,0,0,0,0
"343",14614,35,3,1,1,152000,0,0,0,0,0,0,0
"344",14614,30,1,1,1,152000,0,0,0,0,0,0,0
"345",14643,53,1,1,1,90000,0,0,0,0,0,0,0
"346",14664,44,1,1,1,48000,0,0,0,0,0,0,0
"348",14732,56,5,1,1,202000,0,0,0,0,0,0,0
"349",14732,52,5,1,1,202000,0,0,0,0,0,0,0
"350",14765,43,1,1,1,110050,0,0,0,0,0,0,0
"351",14793,28,7,1,1,67700,0,0,0,0,0,0,0
"353",14827,57,6,1,1,107400,0,0,0,0,0,0,0
"354",14840,60,1,1,1,135350,0,0,0,0,0,0,0
"355",14890,54,1,0,2,40000,1,1,0,0,0,0,0
"357",14942,45,1,1,1,35200,0,0,0,0,0,0,0
"358",15104,42,4,1,1,50500,0,0,0,0,0,0,0
"359",15104,25,1,0,2,50500,1,1,0,0,0,0,0
"360",15160,37,1,1,1,119000,0,0,0,0,0,0,0
"361",15160,34,1,1,1,119000,0,0,0,0,0,0,0
"362",15161,64,1,1,1,125100,0,0,0,0,0,0,0
"363",15161,61,1,0,12,125100,0,0,0,0,0,0,0
"364",15173,56,1,1,1,271400,0,0,0,0,0,0,0
"366",15259,23,2,1,1,18800,0,0,0,0,0,0,0
"367",15295,54,1,1,1,68000,0,0,0,0,0,0,0
"368",15295,58,3,1,1,68000,0,0,0,0,0,0,0
